classifier,ulevel,dataset,distance,cmp,acc,train_duration,test_duration
GNB,0.4,SmoothSubspace,ued,cdf_cmp,0.52,600.39,3.68
GNB,0.4,BME,ued,cdf_cmp,0.5533333333333333,654.52,314.99
GNB,0.4,CBF,ued,cdf_cmp,0.8611111111111112,656.45,1226.51
GNB,0.4,UMD,ued,cdf_cmp,0.8333333333333334,637.14,182.25
GNB,0.4,SyntheticControl,ued,cdf_cmp,0.3266666666666666,585.32,9.79
GNB,0.4,ShapeletSim,ued,cdf_cmp,0.7944444444444444,642.98,439.76
GNB,0.4,Chinatown,ued,cdf_cmp,0.9591836734693876,606.59,96.97
GNB,0.4,ECG200,ued,interval_cmp,0.78,629.06,25.83
GNB,0.4,TwoLeadECG,ued,interval_cmp,0.7445127304653204,648.71,1277.95
GNB,0.4,ECGFiveDays,ued,interval_cmp,0.8490127758420442,672.22,1713.28
GNB,0.4,ItalyPowerDemand,ued,interval_cmp,0.923226433430515,625.99,390.93
GNB,0.4,SonyAIBORobotSurface2,ued,interval_cmp,0.8058761804826863,640.25,679.21
GNB,0.4,SonyAIBORobotSurface1,ued,interval_cmp,0.8851913477537438,628.57,488.47
GNB,0.4,Plane,ued,interval_cmp,0.8666666666666667,639.01,38.49
GNB,0.4,Trace,ued,interval_cmp,0.7,623.74,34.79
GNB,0.4,SmoothSubspace,ued,interval_cmp,0.4933333333333333,619.14,20.0
GNB,0.4,BME,ued,interval_cmp,0.6,655.52,233.1
GNB,0.4,CBF,ued,interval_cmp,0.8777777777777778,659.72,1237.89
GNB,0.4,UMD,ued,interval_cmp,0.8888888888888888,647.71,172.85
GNB,0.4,SyntheticControl,ued,interval_cmp,0.82,621.5,28.33
GNB,0.4,ShapeletSim,ued,interval_cmp,0.8222222222222222,661.41,408.67
GNB,0.4,Chinatown,ued,interval_cmp,0.9708454810495628,604.8,49.11
GNB,0.4,ECG200,dust_uniform,simple_cmp,0.76,623.09,32.64
GNB,0.4,TwoLeadECG,dust_uniform,simple_cmp,0.723441615452151,640.28,911.67
GNB,0.4,ECGFiveDays,dust_uniform,simple_cmp,0.7897793263646922,656.82,1552.83
GNB,0.4,ItalyPowerDemand,dust_uniform,simple_cmp,0.8979591836734694,630.06,466.05
GNB,0.4,SonyAIBORobotSurface2,dust_uniform,simple_cmp,0.7376705141657922,635.42,875.14
GNB,0.4,SonyAIBORobotSurface1,dust_uniform,simple_cmp,0.4775374376039933,626.48,457.37
GNB,0.4,Plane,dust_uniform,simple_cmp,0.819047619047619,618.74,19.06
GNB,0.4,Trace,dust_uniform,simple_cmp,0.77,630.98,34.74
GNB,0.4,SmoothSubspace,dust_uniform,simple_cmp,0.62,626.59,29.69
GNB,0.4,BME,dust_uniform,simple_cmp,0.5533333333333333,645.96,203.64
GNB,0.4,CBF,dust_uniform,simple_cmp,0.9177777777777778,653.88,1005.53
GNB,0.4,UMD,dust_uniform,simple_cmp,0.5972222222222222,635.08,136.0
GNB,0.4,SyntheticControl,dust_uniform,simple_cmp,0.6133333333333333,618.67,23.46
GNB,0.4,ShapeletSim,dust_uniform,simple_cmp,0.5555555555555556,672.24,339.01
GNB,0.4,Chinatown,dust_uniform,simple_cmp,0.9212827988338192,608.82,117.65
GNB,0.4,ECG200,dust_normal,simple_cmp,0.72,620.73,22.45
GNB,0.4,TwoLeadECG,dust_normal,simple_cmp,0.6909569798068481,638.45,901.6
GNB,0.4,ECGFiveDays,dust_normal,simple_cmp,0.7549361207897793,653.56,1628.63
GNB,0.4,ItalyPowerDemand,dust_normal,simple_cmp,0.8940719144800777,629.65,408.29
GNB,0.4,SonyAIBORobotSurface2,dust_normal,simple_cmp,0.6915005246589717,637.38,886.9
GNB,0.4,SonyAIBORobotSurface1,dust_normal,simple_cmp,0.5108153078202995,630.22,454.64
GNB,0.4,Plane,dust_normal,simple_cmp,0.780952380952381,620.06,23.9
GNB,0.4,Trace,dust_normal,simple_cmp,0.7,638.39,45.52
GNB,0.4,SmoothSubspace,dust_normal,simple_cmp,0.6533333333333333,617.71,25.89
GNB,0.4,BME,dust_normal,simple_cmp,0.5866666666666667,644.37,175.34
GNB,0.4,CBF,dust_normal,simple_cmp,0.9111111111111112,657.71,933.12
GNB,0.4,UMD,dust_normal,simple_cmp,0.6180555555555556,640.4,136.8
GNB,0.4,SyntheticControl,dust_normal,simple_cmp,0.59,618.17,14.32
GNB,0.4,ShapeletSim,dust_normal,simple_cmp,0.45,638.25,254.87
GNB,0.4,Chinatown,dust_normal,simple_cmp,0.8600583090379009,608.19,136.34
